Timestamp,Return,Actual Value
2019-09-19 12:00:00+00:00,0.001917808,1
2019-09-19 13:00:00+00:00,-0.000800089,0
2019-09-19 14:00:00+00:00,-0.000587878,0
2019-09-19 15:00:00+00:00,0.002515162,1
2019-09-19 16:00:00+00:00,0.016691958,1
2019-09-19 17:00:00+00:00,-0.000587065,0
2019-09-19 18:00:00+00:00,7.96E-05,1
2019-09-19 19:00:00+00:00,0.006958755,1
2019-09-19 20:00:00+00:00,0.014236564,1
2019-09-19 21:00:00+00:00,0.000809061,1
2019-09-19 22:00:00+00:00,-0.00258106,0
2019-09-19 23:00:00+00:00,0.003300588,1
2019-09-20 00:00:00+00:00,-0.003172935,0
2019-09-20 01:00:00+00:00,-0.002060185,0
2019-09-20 02:00:00+00:00,-0.002201415,0
2019-09-20 03:00:00+00:00,0.003029946,1
2019-09-20 04:00:00+00:00,-0.000899395,0
2019-09-20 05:00:00+00:00,-0.005430582,0
2019-09-20 06:00:00+00:00,0.000757546,1
2019-09-20 07:00:00+00:00,-0.001681069,0
2019-09-20 08:00:00+00:00,-0.000945347,0
2019-09-20 09:00:00+00:00,-0.000709681,0
2019-09-20 10:00:00+00:00,0.001814918,1
2019-09-20 11:00:00+00:00,0.000817203,1
2019-09-20 12:00:00+00:00,0.005046779,1
2019-09-20 13:00:00+00:00,-0.004003446,0
2019-09-20 14:00:00+00:00,0.00043242,1
2019-09-20 15:00:00+00:00,-0.000638526,0
2019-09-20 16:00:00+00:00,-0.0085912,0
2019-09-20 17:00:00+00:00,0.003192607,1
2019-09-20 18:00:00+00:00,0.003676616,1
2019-09-20 19:00:00+00:00,2.95E-05,1
2019-09-20 20:00:00+00:00,-0.001861061,0
2019-09-20 21:00:00+00:00,-0.000887872,0
2019-09-20 22:00:00+00:00,0.001204629,1
2019-09-20 23:00:00+00:00,0.003303813,1
2019-09-21 00:00:00+00:00,-0.001218877,0
2019-09-21 01:00:00+00:00,-0.000501924,0
2019-09-21 02:00:00+00:00,-0.003525079,0
2019-09-21 03:00:00+00:00,0.001086957,1
2019-09-21 04:00:00+00:00,-0.003444872,0
2019-09-21 05:00:00+00:00,-0.000118858,0
2019-09-21 06:00:00+00:00,-0.003675123,0
2019-09-21 07:00:00+00:00,0.001958679,1
2019-09-21 08:00:00+00:00,-0.004693624,0
2019-09-21 09:00:00+00:00,-0.003997926,0
2019-09-21 10:00:00+00:00,-2.00E-05,0
2019-09-21 11:00:00+00:00,0.00548554,1
2019-09-21 12:00:00+00:00,-0.006948938,0
2019-09-21 13:00:00+00:00,0.003478732,1
2019-09-21 14:00:00+00:00,-0.001019022,0
2019-09-21 15:00:00+00:00,0.003510211,1
2019-09-21 16:00:00+00:00,-0.004105835,0
2019-09-21 17:00:00+00:00,-0.002391602,0
2019-09-21 18:00:00+00:00,0.002537766,1
2019-09-21 19:00:00+00:00,0.001290684,1
2019-09-21 20:00:00+00:00,-0.0047364,0
2019-09-21 21:00:00+00:00,0.002168631,1
2019-09-21 22:00:00+00:00,-0.000220401,0
2019-09-21 23:00:00+00:00,-0.000120245,0
2019-09-22 00:00:00+00:00,-0.002996472,0
2019-09-22 01:00:00+00:00,-0.004593657,0
2019-09-22 02:00:00+00:00,0.001767177,1
2019-09-22 03:00:00+00:00,-0.005231697,0
2019-09-22 04:00:00+00:00,0.002249605,1
2019-09-22 05:00:00+00:00,0.00347805,1
2019-09-22 06:00:00+00:00,0.000644836,1
2019-09-22 07:00:00+00:00,0.009424653,1
2019-09-22 08:00:00+00:00,-0.001496259,0
2019-09-22 09:00:00+00:00,-0.00035964,0
2019-09-22 10:00:00+00:00,-0.000289815,0
2019-09-22 11:00:00+00:00,0.000149948,1
2019-09-22 12:00:00+00:00,0.003018491,1
2019-09-22 13:00:00+00:00,-0.005919165,0
2019-09-22 14:00:00+00:00,0.001313178,1
2019-09-22 15:00:00+00:00,5.01E-05,1
2019-09-22 16:00:00+00:00,0.001441528,1
2019-09-22 17:00:00+00:00,-0.001019613,0
2019-09-22 18:00:00+00:00,-0.002271454,0
2019-09-22 19:00:00+00:00,0.000992889,1
2019-09-22 20:00:00+00:00,0.002254328,1
2019-09-22 21:00:00+00:00,0.004568492,1
2019-09-22 22:00:00+00:00,-0.000865758,0
2019-09-22 23:00:00+00:00,-0.001115505,0
2019-09-23 00:00:00+00:00,-0.00334028,0
2019-09-23 01:00:00+00:00,-0.001060467,0
2019-09-23 02:00:00+00:00,-0.00239359,0
2019-09-23 03:00:00+00:00,0.000662577,1
2019-09-23 04:00:00+00:00,0.000822657,1
2019-09-23 05:00:00+00:00,-0.002896982,0
2019-09-23 06:00:00+00:00,-0.00321705,0
2019-09-23 07:00:00+00:00,-0.002884518,0
2019-09-23 08:00:00+00:00,0.004197686,1
2019-09-23 09:00:00+00:00,0.001933944,1
2019-09-23 10:00:00+00:00,-0.003237124,0
2019-09-23 11:00:00+00:00,-0.000474034,0
2019-09-23 12:00:00+00:00,0.000534803,1
2019-09-23 13:00:00+00:00,-0.001875851,0
2019-09-23 14:00:00+00:00,0.00055573,1
2019-09-23 15:00:00+00:00,-0.004059622,0
2019-09-23 16:00:00+00:00,-0.007036969,0
2019-09-23 17:00:00+00:00,-0.001572584,0
2019-09-23 18:00:00+00:00,0.004193344,1
2019-09-23 19:00:00+00:00,-0.002220321,0
2019-09-23 20:00:00+00:00,-0.003378723,0
2019-09-23 21:00:00+00:00,-0.002335228,0
2019-09-23 22:00:00+00:00,-0.00264868,0
2019-09-23 23:00:00+00:00,-0.002882171,0
