date,close
6/13/2014,102.53
6/16/2014,102.45
6/17/2014,101.93
6/18/2014,102.81
6/19/2014,103.81
6/20/2014,105.27
6/23/2014,104.75
6/24/2014,104.59
6/25/2014,105.76
6/26/2014,105.65
6/27/2014,104.99
6/30/2014,104.62
7/1/2014,105.87
7/2/2014,105.86
7/3/2014,105.42
7/7/2014,106.47
7/8/2014,105.72
7/9/2014,106.04
7/10/2014,105.8
7/11/2014,105.1
7/14/2014,105.38
7/15/2014,103.28
7/16/2014,102.22
7/17/2014,100.37
7/18/2014,101.8
7/21/2014,101.27
7/22/2014,102.47
7/23/2014,102.19
7/24/2014,102.2
7/25/2014,102.11
7/28/2014,102.11
7/29/2014,101.96
7/30/2014,102.3
7/31/2014,100.09
8/1/2014,99.9
8/4/2014,100.16
8/5/2014,99.82
8/6/2014,100.71
8/7/2014,99.93
8/8/2014,101.08
8/11/2014,101.16
8/12/2014,100.63
8/13/2014,101.74
8/14/2014,102.02
8/15/2014,101.17
8/18/2014,102.7
8/19/2014,102.96
8/20/2014,103.21
8/21/2014,104.19
8/22/2014,103.1
8/25/2014,103.23
8/26/2014,103.44
8/27/2014,103.22
8/28/2014,102.95
8/29/2014,103.73
9/2/2014,103.36
9/3/2014,103.76
9/4/2014,103.84
9/5/2014,104.42
9/8/2014,104.05
9/9/2014,103.8
9/10/2014,104.99
9/11/2014,104.55
9/12/2014,104.58
9/15/2014,104.72
9/16/2014,105.88
9/17/2014,106.19
9/18/2014,107.35
9/19/2014,107.99
9/22/2014,107.88
9/23/2014,107.46
9/24/2014,108.64
9/25/2014,107.1
9/26/2014,107.1
9/29/2014,106.54
9/30/2014,106.59
10/1/2014,104.3
10/2/2014,103.85
10/3/2014,105.13
10/6/2014,104.86
10/7/2014,102.39
10/8/2014,104.91
10/9/2014,102.08
10/10/2014,101.23
10/13/2014,99.12
10/14/2014,97.01
10/15/2014,98.21
10/16/2014,96.78
10/17/2014,98.7
10/20/2014,99.2
10/21/2014,100.36
10/22/2014,101.22
10/23/2014,102.63
10/24/2014,103.13
10/27/2014,104.07
10/28/2014,104.79
10/29/2014,105.56
10/30/2014,107.04
10/31/2014,107.78
11/3/2014,107.46
11/4/2014,108.62
11/5/2014,108.82
11/6/2014,109.01
11/7/2014,108.2
11/10/2014,108.82
11/11/2014,108.91
11/12/2014,108.75
11/13/2014,109.07
11/14/2014,108.16
11/17/2014,108.3
11/18/2014,108.83
11/19/2014,108.76
11/20/2014,108.18
11/21/2014,107.86
11/24/2014,106.88
11/25/2014,106.7
11/26/2014,107.21
11/28/2014,108.25
12/1/2014,108.03
12/2/2014,108.51
12/3/2014,107.72
12/4/2014,107.56
12/5/2014,108.51
12/8/2014,108.52
12/9/2014,108.05
12/10/2014,106.24
12/11/2014,106.72
12/12/2014,104.43
12/15/2014,103.96
12/16/2014,102.76
12/17/2014,104.07
12/18/2014,106.81
12/19/2014,105.55
12/22/2014,106.74
12/23/2014,104.28
12/24/2014,104.59
12/26/2014,105.06
12/29/2014,105.33
12/30/2014,105.36
12/31/2014,104.57
1/2/2015,104.52
1/5/2015,103.79
1/6/2015,103.28
1/7/2015,105.56
1/8/2015,106.39
1/9/2015,104.94
1/12/2015,104.58
1/13/2015,104.76
1/14/2015,104
1/15/2015,102.49
1/16/2015,104.04
1/20/2015,101.29
1/21/2015,101.9
1/22/2015,103.76
1/23/2015,102.2
1/26/2015,102.26
1/27/2015,102.09
1/28/2015,101.48
1/29/2015,102.38
1/30/2015,100.14
2/2/2015,100.83
